1._Nombre_de_encuestador,count
d55e8cb90044,491
f2506f32a669,87
275cd8b44a44,2
bc56d6da002d,2
6f2abda8790c,1
157b680b5ee8,1
64e1e913624a,1
f391498d72a5,1
d51734d04a7d,1
d0411ad110cd,1
02c54643ed75,1
dbc310affd0d,1
25d5f53eadc1,1
bba8aae0b406,1
b0f7c0c2b34b,1
c49c16f492d6,1
edef09c0fe48,1
ef98737c6326,1
8f06e30822d1,1
cf77b887382d,1
788c060bbd24,1
01b93f1b14c1,1
