Otro.14,count
,594
Neutral,1
"No puede, por servicio",1
NO ME HAN DADO NINGUNA SOLUCION YA QUE NO TENGO PORQUE ESTAR VINIENDO ARREGLAR ALGO QUE NO ES MI PROBLEMA ES PROBLEMA DE ENEL,1
FATAL PESIMA,1
En espera.,1
Pesima por el recibo.,1
