Otro.18,count
,594
NO ESTAMOS DE ACUERDO CON LOS COBROS EXCESIVOS,1
ES INJUSTO EL COBRO DE MI RECIBO YO VOY A LA CASA UNA VEZ CADA 8 DIAS Y ME SALEN CON UN CONSUMO COMO DE 10 PERSONAS,1
A MI ESPOSA LA COGIO UNA FUNCIONARIA DE ENEL EN EL SUPER CADE Y LE DIJO QUE SI LE DABA UNOS DATOS QUE LE HIBA A REGALAR UNA REVISTA MI ESPOSA SE LOS DIO PERO RESULTA QUE EN MI FACTURA ME LLEGO UNA SUSCRIPCION AL TIEMPO SIN AUTORIZACION,1
ME ESTAN HACIENDO UNOS COBROS INJUSTOS E INDEBIDOS,1
NO ESTOY DE ACUERDO CON LA ATENCION CON LA MALA ATENCION,1
ES EL COLMO QUE SAQUEN SERVICIOS A NOMBRE DE UNO Y NADIE DE SOLUCION,1
